Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
All Form Validation error in Safari Browser,DBPS-62,10304,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 23:44,16-03-2026 23:44,,,,0,CrossBrowser,"|Form validation on Safari: same application-level validation gaps as Chrome and Firefox — only Name validated; no browser-specific validation differences|

|# Test form validation|",Safari,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a151069,,,,,,,,,,blue,,0|i000ef:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,16-03-2026 23:44
All Form Validation error in FireFox Browser,DBPS-61,10302,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 23:43,16-03-2026 23:43,,,,0,CrossBrowser,"|Form validation on Firefox: same incomplete validation as Chrome — only Name field validated on Place Order; Country/City/Month/Year accept blank values; this is an application-level bug not browser-specific|

|# Test forms with invalid data
# Check validation|",FireFox,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c15ca2f,,,,,,,,,,green,,0|i000e7:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,16-03-2026 23:43
All Form Validation error in Chrome Browser,DBPS-60,10300,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 23:41,16-03-2026 23:41,,,,0,CrossBrowser,"|Form validation on Chrome: Name-only check on Place Order (blank Name shows browser alert); Login/Signup show alerts for missing/wrong credentials; Country, City, Month, Year accept any input including blanks — incomplete validation is a known bug consistent across all browsers|

|# Test all forms with invalid data
# Check error messages|",Chrome,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,16/Mar/26 11:40 PM;af9b6db3-bab7-4119-bd80-b64f520e62db;image-20260316-181029.png;https://lohithharishmaney.atlassian.net/rest/api/3/attachment/content/10184,16/Mar/26 11:40 PM;af9b6db3-bab7-4119-bd80-b64f520e62db;image-20260316-181050.png;https://lohithharishmaney.atlassian.net/rest/api/3/attachment/content/10185,16/Mar/26 11:41 PM;af9b6db3-bab7-4119-bd80-b64f520e62db;image-20260316-181115.png;https://lohithharishmaney.atlassian.net/rest/api/3/attachment/content/10186,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54d56def,,,,,,,,,,dark_grey,,0|i000dz:,,,,,,,,,,,,,10298,DBPS-59,Cross Browser Functionality,To Do,16-03-2026 23:41
Cross Browser Functionality,DBPS-59,10298,Epic,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Medium,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 23:36,17-03-2026 09:16,17-03-2026 09:16,,,0,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@675c60e7,,,,,ghx-label-3,,,,,yellow,,0|i000dr:,,,,,,,,,,,,,,,,To Do,16-03-2026 23:36
user gets no indication that submission is failed when the server is down,DBPS-58,10265,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:21,16-03-2026 14:21,,,,0,Contact,"|Server error scenario (simulated by intercepting network request): when API call fails, no user-facing error message displayed; the modal remains open with no feedback; user has no indication the submission failed — no error handling for server-side failures|

|# Simulate server downtime
# Fill and submit form
# Check error handling|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f4befab,,,,,,,,,,dark_orange,,0|i000dj:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:21
user sends 5 message rapidly back to back,DBPS-57,10263,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:20,16-03-2026 14:20,,,,0,Contact,"|Rapid multiple submissions: clicked 'Send message' 5 times quickly — all 5 submissions processed; received 5 consecutive success alerts; no duplicate prevention or button-disable mechanism; multiple identical messages sent to the server|

|# Fill form
# Click 'Send message' multiple times rapidly
# Check behavior|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@633ee8ea,,,,,,,,,,dark_orange,,0|i000db:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:20
Reads Trimmed spaces from the user Inputs,DBPS-56,10261,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:18,16-03-2026 14:18,,,,0,Contact,"|Leading/trailing whitespace trimming: entered ' [test@example.com|mailto:test@example.com] ' with spaces — NO trimming applied; submitted as-is with surrounding spaces; no input sanitization for whitespace in any field|

|# Enter data with leading/trailing spaces
# Submit form
# Check if spaces trimmed|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,16/Mar/26 2:18 PM;af9b6db3-bab7-4119-bd80-b64f520e62db;image-20260316-084842.png;https://lohithharishmaney.atlassian.net/rest/api/3/attachment/content/10148,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69852344,,,,,,,,,,dark_orange,,0|i000d3:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:18
labels are missing ,DBPS-55,10259,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:17,16-03-2026 14:17,,,,0,Contact,"|# Open Contact modal
# Inspect label elements
# Check 'for' attribute linking|

|Form labels 'for' attribute association: inspected the HTML — labels use plain text nodes above inputs without <label> elements linked via 'for' attribute to input IDs; clicking label text does NOT focus the associated input field; accessibility association missing|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c758694,,,,,,,,,,dark_orange,,0|i000cv:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:17
no loading indicates in 3G network,DBPS-54,10257,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:12,16-03-2026 14:12,,,,0,Contact,"|Form submission on slow 3G (simulated): submission still completes but takes 3–5 seconds; no loading indicator or spinner shown during wait; no timeout error observed; alert eventually appears; user has no feedback that the request is in-progress|

|# Simulate slow 3G connection
# Fill and submit form
# Observe behavior|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77553bc8,,,,,,,,,,dark_orange,,0|i000cn:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:12
No rate limit applied even if the form is submitted continuously 10 times,DBPS-53,10255,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,High,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:03,16-03-2026 14:03,,,,0,Contact,"|# Submit contact form 10 times rapidly
# Check if rate limiting applied|

|Rate limiting: submitted the contact form 10 times in rapid succession — all 10 submissions received 'Thanks for the message!!' alerts; no rate limiting, cooldown, or 'too many requests' error enforced; no spam/bot protection (no CAPTCHA or honeypot)|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44224058,,,,,,,,,,dark_orange,,0|i000cf:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:03
Inputs accepts HTML format inputs from users,DBPS-52,10253,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:01,16-03-2026 14:01,,,,0,Contact,"|# Open Contact modal
# Enter HTML tags in message
# Submit form|

|HTML injection test: Message: <b>Bold</b> <img src='x'> — form submits; the success alert displays raw text including the tags without rendering them as HTML in the alert box; input not sanitised but not rendered in the browser context tested|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f4301cd,,,,,,,,,,dark_orange,,0|i000c7:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:01
CSRF security prevention to be fixed,DBPS-51,10251,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 14:01,16-03-2026 14:01,,,,0,Contact,"|CSRF protection: NO CSRF token present in the Contact form or API request; the form submission uses a plain AJAX call with no token; cross-site request forgery is possible — site-wide security vulnerability|

|# Open Contact modal
# Check form for CSRF token
# Submit form
# Verify token validation|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b2aab7e,,,,,,,,,,dark_orange,,0|i000bz:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 14:01
inputs accepts SQL injection,DBPS-50,10249,Bug,To Do,DBPS,Demo Blaze-Product Store,software,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,Highest,,,,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,16-03-2026 13:59,16-03-2026 13:59,,,,0,Contact,"|# Open Contact modal
# Enter HTML tags in message
# Submit form|

|HTML injection test: Message: <b>Bold</b> <img src='x'> — form submits; the success alert displays raw text including the tags without rendering them as HTML in the alert box; input not sanitised but not rendered in the browser context tested|","Chrome, Safari, Edge, FireFox",Lohith Harish,712020:4bbf117a-f62f-4088-9de8-d6a7f0a15258,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ed249cd,,,,,,,,,,dark_orange,,0|i000br:,,,,,,,,,,,,,10215,DBPS-33,Contact functionality,To Do,16-03-2026 13:59
